Benchmark Method,Amount of Nodes,Size per Node,Amount of CClients,Ops/sec,Hits/sec,Misses/sec,Avg. Latency,p50 Latency,p99 Latency,p99.9 Latency,KB/sec
memcached,1,30,5,58768.54,3318.43,55450.11,0.0768,0.079,0.135,0.207,1686.36
memcached,5,6,10,300303.27,2626.9,297676.38,0.59381,0.523,2.275,7.114999999999999,7750.920000000001
redis,5,6,1,50854.46,7021.13,43833.33,0.0,0.0,0.08845,0.095,0.135
redisAggregated,1,30,1000,89981.71,8219.89,81761.82,10.34125,8.959,61.951,73.215,3777.97
redisAggregated,5,6,100,267703.62,19858.36,247845.24999999997,7.91126,6.811,23.867,29.755,11087.39
redisAggregated,1,30,100,115031.11,13761.61,101269.5,0.78973,0.735,1.207,3.519,4937.84
redis,5,6,100,288436.57,2926.3,285510.26,0.0,0.0,1.55841,0.903,12.351
memcached,5,6,1000,319303.5,2361.54,316941.97,56.722719999999995,42.394999999999996,319.48299999999995,643.067,8216.68
redisAggregated,1,30,1,16358.22,778.46,15579.76,0.05472,0.055,0.095,0.159,690.58
redis,5,6,10,73819.85,19399.36,54420.49,0.0,0.0,0.61516,0.599,0.991
memcached,3,10,5,299156.18,2075.83,297080.35,0.17558,0.157,0.669,2.269,7688.73
redisAggregated,5,6,1000,258164.94,19197.449999999997,238967.49,90.16503,75.963,425.979,714.7470000000001,10693.699999999999
redis,1,30,100,91495.4,12314.55,79180.85,0.99433,0.983,1.735,2.111,3972.97
redisAggregated,5,6,10,244574.43000000002,16545.13,228029.29,0.96939,0.883,2.2990000000000004,2.851,10076.480000000001
redisAggregated,1,30,5,105627.36,10181.61,95445.75,0.04225,0.047,0.111,0.183,4452.67
memcached,1,30,1000,0.0,0.0,0.0,15.6803,14.079,87.039,117.247,0.0
redisAggregated,1,30,10,110322.63,13139.55,97183.08,0.08197,0.079,0.175,0.255,4733.78
redis,5,6,5,69871.87,18359.75,51512.11,0.0,0.0,0.32466,0.311,0.535
redisAggregated,3,10,100,265751.85,26827.01,238924.84,3.05562,2.8609999999999998,4.805,6.5569999999999995,11242.74
redis,3,10,100,277130.76,70227.93,206902.83,0.0,0.0,0.90065,0.735,1.591
redis,1,30,5,120075.59,12618.13,107457.46,0.03764,0.039,0.071,0.151,5096.39
redis,3,10,1,48733.9,6474.15,42259.75,0.0,0.0,0.05369,0.055,0.079
memcached,3,10,10,311557.79,3349.23,308208.57,0.34243,0.237,1.437,10.413,8079.120000000001
redisAggregated,5,6,5,234003.75,10373.840000000002,223629.92,0.49041999999999997,0.459,1.2269999999999999,1.587,9459.810000000001
memcached,5,6,100,336475.54,2861.2699999999995,333614.27,5.36913,3.9789999999999996,21.099,196.091,8679.43
redis,3,10,1000,297216.83,75229.56,221987.27,0.0,0.0,9.17383,8.959,20.863
redis,5,6,1000,303211.23,79681.27,223529.97,0.0,0.0,14.97193,9.983,79.871
redisAggregated,5,6,1,60151.45,2820.21,57331.23,0.36729,0.355,0.675,0.9550000000000001,2436.7799999999997
memcached,1,30,10,67659.65,4958.63,62701.02,0.13391,0.127,0.223,0.295,2010.26
redis,1,30,10,124404.76,16713.39,107691.37,0.07266,0.079,0.119,0.207,5401.01
redisAggregated,3,10,5,238740.28,16857.62,221882.65999999997,0.16909000000000002,0.165,0.357,0.501,9859.630000000001
redisAggregated,3,10,1,41633.64,2421.7300000000005,39211.9,0.19104,0.189,0.309,0.501,1702.21
redis,1,30,1000,143482.59,19261.72,124220.86,6.33368,6.239,11.967,14.399,6228.62
redisAggregated,3,10,10,242741.78999999998,24436.989999999998,218304.8,0.33422999999999997,0.333,0.725,0.8370000000000001,10267.119999999999
memcached,1,30,100,92429.44,9214.3,83215.14,0.98282,0.935,1.495,4.543,2893.66
memcached,5,6,1,60061.87,271.42,59790.46,0.05906,0.063,0.087,0.159,1534.89
redis,1,30,1,17661.89,903.48,16758.41,0.05088,0.055,0.079,0.159,718.0
redisAggregated,3,10,1000,196849.65999999997,16514.34,180335.31,42.543549999999996,33.981,199.165,395.26099999999997,8216.140000000001
memcached,3,10,1,59866.06,270.07,59595.99,0.05932,0.063,0.087,0.159,1529.86
memcached,1,30,1,17743.41,726.6,17016.81,0.04869,0.047,0.087,0.175,492.51
memcached,5,6,5,278503.75,1464.8,277038.95,0.31747000000000003,0.315,0.715,1.099,7129.68
redis,3,10,10,81309.94,20597.83,60712.1,0.0,0.0,0.3343,0.319,0.543
redis,3,10,5,70949.44,17972.79,52976.65,0.0,0.0,0.19161,0.183,0.319
memcached,3,10,100,346721.5,3569.4700000000003,343152.04,3.1035000000000004,1.6609999999999998,13.277000000000001,208.893,8981.25
memcached,3,10,1000,253297.63,184.74,253112.88,10.76375,9.485,18.717,96.381,6414.92
